HALL OF FAME
26:['A', 'R', 'E', 'NE', 'B', 'R', 'C']
27:['A', 'R', 'NE', 'E', 'C', 'R', 'B']
28:['R', 'R', 'R', 'R', 'R', 'R', 'R']
29:['NE', 'R', 'E', 'B', 'A', 'R', 'C']
[21, 10, 20, 21, 21, 11, 21]
[1.19, 1.21, 1.6, 1.35, 1.38, 1.02, 1.09]

HALL OF FAME
Schedule(fitness=510.92877587528756)
1:['NE', 'A', 'R', 'E', 'R', 'B', 'C']
2:['A', 'R', 'E', 'NE', 'C', 'R', 'B']
3:['C', 'B', 'NE', 'E', 'R', 'R', 'A']
4:['NE', 'R', 'R', 'E', 'A', 'C', 'B']
5:['A', 'R', 'E', 'NE', 'B', 'R', 'C']
6:['E', 'B', 'R', 'NE', 'A', 'R', 'C']
7:['R', 'R', 'R', 'R', 'R', 'R', 'R']
8:['R', 'B', 'NE', 'C', 'E', 'A', 'R']
9:['E', 'R', 'B', 'NE', 'A', 'C', 'R']
10:['B', 'R', 'E', 'NE', 'A', 'C', 'R']
11:['E', 'NE', 'R', 'B', 'A', 'C', 'R']
12:['NE', 'E', 'B', 'R', 'A', 'R', 'C']
13:['NE', 'R', 'E', 'C', 'A', 'R', 'B']
14:['R', 'R', 'R', 'R', 'R', 'R', 'R']
15:['B', 'R', 'E', 'NE', 'C', 'R', 'A']
16:['E', 'R', 'NE', 'R', 'C', 'B', 'A']
17:['NE', 'B', 'E', 'A', 'R', 'R', 'C']
18:['R', 'NE', 'B', 'E', 'A', 'C', 'R']
19:['A', 'R', 'NE', 'E', 'B', 'R', 'C']
20:['R', 'R', 'E', 'NE', 'A', 'C', 'B']
21:['R', 'R', 'R', 'R', 'R', 'R', 'R']
22:['E', 'A', 'NE', 'R', 'C', 'R', 'B']
23:['R', 'R', 'E', 'NE', 'B', 'A', 'C']
24:['NE', 'R', 'E', 'R', 'C', 'A', 'B']
25:['C', 'NE', 'E', 'B', 'R', 'R', 'A']
26:['R', 'R', 'NE', 'E', 'A', 'B', 'C']
27:['B', 'R', 'NE', 'E', 'A', 'R', 'C']
28:['R', 'R', 'R', 'R', 'R', 'R', 'R']
29:['C', 'R', 'E', 'NE', 'A', 'R', 'B']
[20, 10, 21, 21, 21, 12, 20]
[1.16, 1.31, 1.68, 1.4, 1.24, 1.06, 1.03]
